name,description,accords.cítrico,accords.aromático,accords.fresco especiado,accords.amaderado,accords.lavanda,accords.fresco,calificationNumbers.ratingValue,calificationNumbers.bestRating,calificationNumbers.ratingCount,piramidFragrance.salida,piramidFragrance.corazon,piramidFragrance.base,piramidFragrance.ingredientes,accords.terrosos,accords.Floral amarillo,accords.dulce,accords.cálido especiado,accords.ozónico,accords.verde,accords.floral blanco,accords.almizclado,accords.atalcado,accords.nardos,accords.iris,accords.florales,accords.violeta,accords.rosas,accords.herbal,accords.especiado suave,accords.cuero,accords.ámbar,accords.afrutados,accords.pachulí,accords.avainillado,accords.almendrado,accords.anís,accords.nueces,accords.marino,accords.animálico,accords.salado,accords.balsámico,accords.acuático,accords.amielado,accords.oud,accords.ahumado,accords.cacao,accords.café,accords.metálico,accords.tabaco,accords.canela,accords.acerezado,accords.chocolate,accords.musgoso,accords.tropical,accords.lactónico,accords.alcanforados,accords.Whisky,accords.ron,accords.coco,accords.caramelo,accords.aldehídico,accords.jabonoso,accords.conífera,accords.mineral,accords.cera de abeja,accords.amargo,accords.champán,accords.alcohol,accords.vodka,accords.cannabis,accords.arena,accords.Vino,accords.coca-cola,accords.pegamento industrial,accords.cinta scotch,accords.arcilla,accords.asfalto,accords.vinyl,accords.Pear,accords.terpénico,accords.pelota de tenis,PerfumeURL,calificationText.MeEncanta,calificationText.MeGusta,calificationText.MeEsIndiferente,calificationText.NoMeGusta,calificationText.LaOdio,timeSeasons.Invierno,timeSeasons.Primavera,timeSeasons.Verano,timeSeasons.Otoño,timeDay.Dia,timeDay.Noche,longevity.escasa,longevity.débil,longevity.moderada,longevity.duradera,longevity.muy_duradera,sillage.suave,sillage.moderada,sillage.pesada,sillage.enorme,gender.femenino,gender.unisex_femenino,gender.unisex,gender.unisex_masculino,gender.masculino,price.extremadamente_costoso,price.ligeramente_costoso,price.precio_moderado,price.buen_precio,price.excelente_precio
Essenza di Colonia Acqua di Parma para Hombres,Essenza di Colonia de Acqua di Parma es una fragancia de la familia olfativa Cítrica Aromática para Hombres. Essenza di Colonia se lanzó en 2010.,100,63.46636495,58.54175238,48.32621889,,,4.34,5,3580,,,,"['neroli', 'bergamota', 'toronja (pomelo)', 'jazmín', 'petit grain', 'naranja', 'mandarina', 'almizcle', 'vetiver', 'romero', 'musgo de roble', 'rosa', 'lirio de los valles (muguete)', 'clavos de olor', 'salvia', 'pachulí', 'ámbar']",,,,,,46.26967188,62.44304156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Essenza-di-Colonia-9829.html,100,53.6986,10.7763,12.0548,1.64384,16.6258,91.2702,100,43.7469,94.5071,38.0088,93,203,1031,796,86,297,1537,377,158,27,6,249,594,776,84,287,747,312,59
Iris Nobile Sublime Acqua di Parma para Mujeres,"Iris Nobile Sublime de Acqua di Parma es una fragancia de la familia olfativa Floral para Mujeres. Iris Nobile Sublime se lanzó en 2012. Las Notas de Salida son neroli y mandarina; las Notas de Corazón son iris de la Toscana, jazmín sambac (sampaguita), flor de azahar del naranjo y ylang-ylang; las Notas de Fondo son abedul, acacia negra (robinia) y cedro.",69.42034145,,,57.26365665,,,4.04,5,258,"['neroli', 'mandarina']","['iris de la Toscana', 'jazmín sambac (sampaguita)', 'flor de azahar del naranjo', 'ylang-ylang']","['abedul', 'acacia negra (robinia)', 'cedro']",,,49.13053724,54.11577127,,,,100,,51.04334528,,62.75359122,44.98553486,46.37679561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Iris-Nobile-Sublime-15724.html,100,91.7431,5.50459,40.367,0.917431,53.6232,94.2029,44.9275,71.0145,100,44.9275,4,14,33,29,7,26,48,27,24,5,8,7,0,0,0,4,9,0,0
Iris Nobile Sublime Acqua di Parma para Mujeres,"Iris Nobile Sublime de Acqua di Parma es una fragancia de la familia olfativa Floral para Mujeres. Iris Nobile Sublime se lanzó en 2012. Las Notas de Salida son neroli y mandarina; las Notas de Corazón son iris de la Toscana, jazmín sambac (sampaguita), flor de azahar del naranjo y ylang-ylang; las Notas de Fondo son abedul, acacia negra (robinia) y cedro.",69.42034145,,,57.26365665,,,4.04,5,258,"['neroli', 'mandarina']","['iris de la Toscana', 'jazmín sambac (sampaguita)', 'flor de azahar del naranjo', 'ylang-ylang']","['abedul', 'acacia negra (robinia)', 'cedro']",,,49.13053724,54.11577127,,,,100,,51.04334528,,62.75359122,44.98553486,46.37679561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Iris-Nobile-Sublime-15724.html,100,91.7431,5.50459,40.367,0.917431,53.6232,94.2029,44.9275,71.0145,100,44.9275,4,14,33,29,7,26,48,27,24,5,8,7,0,0,0,4,9,0,0
Peonia Nobile Acqua di Parma para Mujeres,Peonia Nobile de Acqua di Parma es una fragancia de la familia olfativa Floral para Mujeres. Peonia Nobile se lanzó en 2016. La Nariz detrás de esta fragrancia es François Demachy.,,45.74068206,63.52167476,,,62.98023428,3.79,5,1168,,,,"['peonía', 'rosa turca', 'frambuesa', 'geranio', 'pachulí', 'pimienta negra', 'almizcle', 'fresia', 'ámbar']",,,50.0922054,49.08241344,,,,,,,,94.79468066,,100,,,,,56.75494143,46.65665827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Peonia-Nobile-40154.html,70.4,100,30.4,42.6,2.6,18.8917,100,66.4987,32.4937,92.9471,21.9144,24,54,187,143,31,70,259,136,76,261,43,16,1,0,39,101,108,21,6
Rosa Nobile Acqua di Parma para Mujeres,"Rosa Nobile de Acqua di Parma es una fragancia de la familia olfativa Almizcle Floral Amaderado para Mujeres. Rosa Nobile se lanzó en 2014. La Nariz detrás de esta fragrancia es François Demachy. Las Notas de Salida son mandarina, pimienta y bergamota; las Notas de Corazón son rosa, peonía, violeta y lirio de los valles (muguete); las Notas de Fondo son almizcle, cedro y ámbar gris.",58.98012725,,49.23561188,46.90531524,,64.68187077,3.92,5,1442,"['mandarina', 'pimienta', 'bergamota']","['rosa', 'peonía', 'violeta', 'lirio de los valles (muguete)']","['almizcle', 'cedro', 'ámbar gris']",,,,,,,,,55.16908362,58.71007891,,,84.59242274,47.51337589,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Rosa-Nobile-26577.html,66.1786,100,22.9868,28.2577,2.04978,25.2567,96.3039,72.2793,43.9425,100,26.2834,34,75,261,102,20,112,311,110,98,263,49,15,0,0,35,109,107,21,10
Acqua di Parma Blu Mediterraneo - Cipresso di Toscana Acqua di Parma para Hombres y Mujeres,"Acqua di Parma Blu Mediterraneo - Cipresso di Toscana de Acqua di Parma es una fragancia de la familia olfativa Amaderada Aromática para Hombres y Mujeres. Acqua di Parma Blu Mediterraneo - Cipresso di Toscana se lanzó en 2005. La Nariz detrás de esta fragrancia es Bertrand Duchaufour. Las Notas de Salida son romero, albahaca, salvia, toronja (pomelo) y petit grain; las Notas de Corazón son pino, lavanda, cilantro, cardamomo, jazmín y lirio de los valles (muguete); las Notas de Fondo son ciprés, pino blanco occidental, vetiver, musgo de roble, cedro y pachulí.",,100,60.68321813,85.09506121,,,3.95,5,855,"['romero', 'albahaca', 'salvia', 'toronja (pomelo)', 'petit grain']","['pino', 'lavanda', 'cilantro', 'cardamomo', 'jazmín', 'lirio de los valles (muguete)']","['ciprés', 'pino blanco occidental', 'vetiver', 'musgo de roble', 'cedro', 'pachulí']",,,,,,,46.47579975,,,,,,,,,45.21927556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Cipresso-di-Toscana-1686.html,77.9188,100,25.3807,26.9036,3.04569,12.8019,79.7101,100,50.4831,95.1691,21.4976,37,74,226,76,7,100,270,54,44,7,5,97,148,114,20,61,152,64,9
Acqua di Parma Blu Mediterraneo - Fico di Amalfi Acqua di Parma para Hombres y Mujeres,"Acqua di Parma Blu Mediterraneo - Fico di Amalfi de Acqua di Parma es una fragancia de la familia olfativa Floral Frutal para Hombres y Mujeres. Acqua di Parma Blu Mediterraneo - Fico di Amalfi se lanzó en 2006. Las Notas de Salida son toronja (pomelo), bergamota, cidra y limón (lima ácida); las Notas de Corazón son néctar de higo, jazmín y pimienta rosa; las Notas de Fondo son árbol de la higuera, cedro y benjuí.",100,44.95755392,45.05195698,74.98136831,,,4.32,5,6717,"['toronja (pomelo)', 'bergamota', 'cidra', 'limón (lima ácida)']","['néctar de higo', 'jazmín', 'pimienta rosa']","['árbol de la higuera', 'cedro', 'benjuí']",,,,51.50127245,,,,,,,,,,,,,,,,60.47684506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Fico-di-Amalfi-1687.html,100,70.3004,13.1797,9.76178,1.39824,4.49116,63.8318,100,13.4257,85.4515,13.9274,348,1132,2190,279,82,1304,2327,282,183,145,322,2167,560,157,176,639,1489,544,80
Acqua di Parma Blu Mediterraneo - Ginepro di Sardegna Acqua di Parma para Hombres y Mujeres,"Acqua di Parma Blu Mediterraneo - Ginepro di Sardegna de Acqua di Parma es una fragancia de la familia olfativa Amaderada Aromática para Hombres y Mujeres. Acqua di Parma Blu Mediterraneo - Ginepro di Sardegna se lanzó en 2014. La Nariz detrás de esta fragrancia es Mélanie Carestia. Las Notas de Salida son enebro de Virginia, pimienta inglesa (pimienta de jamaica), pimienta, nuez moscada y bergamota; las Notas de Corazón son ciprés y salvia; la Nota de Fondo es cedro de Virginia.",,79.23767552,100,77.53399939,,,4.19,5,909,"['enebro de Virginia', 'pimienta inglesa (pimienta de jamaica)', 'pimienta', 'nuez moscada', 'bergamota']","['ciprés', 'salvia']",['cedro de Virginia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Ginepro-di-Sardegna-23851.html,100,89.6714,7.74648,21.5962,0.938967,18.6352,84.7769,95.8005,44.0945,100,32.5459,32,44,194,129,23,111,273,80,79,2,7,76,71,33,3,37,85,17,7
Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia Acqua di Parma para Hombres y Mujeres,"Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia de Acqua di Parma es una fragancia de la familia olfativa Oriental Floral para Hombres y Mujeres. Acqua di Parma Blu Mediterraneo - Mandorlo di Sicilia se lanzó en 1999. Las Notas de Salida son almendras verdes, anís estrellado, naranja y bergamota; las Notas de Corazón son durazno blanco (melocotón blanco), ylang-ylang y jazmín; las Notas de Fondo son vainilla Bourbon, bálsamo de Tolú, almizcle blanco y cedro.",57.9694903,,,,,,4.11,5,4308,"['almendras verdes', 'anís estrellado', 'naranja', 'bergamota']","['durazno blanco (melocotón blanco)', 'ylang-ylang', 'jazmín']","['vainilla Bourbon', 'bálsamo de Tolú', 'almizcle blanco', 'cedro']",,,,94.17104137,,,,,,89.56802922,,,64.61121748,,,,73.41394553,,,78.66791364,,100,97.57157604,70.55999153,70.54269858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Mandorlo-di-Sicilia-1688.html,100,88.6456,16.6497,24.4908,2.44399,44.8726,78.364,81.3278,73.8589,100,39.0041,164,277,842,466,106,488,1129,309,158,269,310,630,68,39,55,275,563,169,32
Acqua di Parma Blu Mediterraneo Arancia di Capri Acqua di Parma para Hombres y Mujeres,"Acqua di Parma Blu Mediterraneo Arancia di Capri de Acqua di Parma es una fragancia de la familia olfativa Cítrica Aromática para Hombres y Mujeres. Acqua di Parma Blu Mediterraneo Arancia di Capri se lanzó en 1999. Las Notas de Salida son naranja, mandarina siciliana, bergamota y limón (lima ácida); las Notas de Corazón son petit grain y cardamomo; las Notas de Fondo son caramelo y almizcle.",100,,,,,,4.15,5,3158,"['naranja', 'mandarina siciliana', 'bergamota', 'limón (lima ácida)']","['petit grain', 'cardamomo']","['caramelo', 'almizcle']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-di-Capri-1685.html,76.844,100,18.7424,12.4547,1.08827,5.32407,48.8426,100,10.7639,85.9954,10.8796,312,561,650,95,30,799,712,119,115,62,121,866,182,59,98,348,488,132,23
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma para Hombres y Mujeres,"Acqua di Parma Blu Mediterraneo Bergamotto di Calabria de Acqua di Parma es una fragancia de la familia olfativa Amaderada Aromática para Hombres y Mujeres. Acqua di Parma Blu Mediterraneo Bergamotto di Calabria se lanzó en 2010. Las Notas de Salida son bergamota y cidra; las Notas de Corazón son jengibre, cedro y flores; las Notas de Fondo son vetiver, almizcle y benjuí.",100,50.51797788,49.40561916,51.60064808,,,4.12,5,2290,"['bergamota', 'cidra']","['jengibre', 'cedro', 'flores']","['vetiver', 'almizcle', 'benjuí']",,,,,45.28510753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Bergamotto-di-Calabria-7826.html,67.8826,100,17.05,10.4679,1.58604,4.7619,47.9313,100,9.44575,86.4949,9.758,348,494,379,59,21,735,462,88,81,25,61,615,217,42,90,271,375,85,15
